"velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
15.852,0,0,3,-1.05,0
15.854,0.0056457,0,3,-0.9998,0
15.86,0.011932,0,3,-0.9496,0
15.87,0.019404,0,3,-0.89939,0
15.885,0.028718,0,3,-0.84919,0
15.906,0.041197,0,3,-0.79899,0
15.933,0.058542,0,3,-0.74879,0
15.97,0.083378,0,3,-0.69858,0
16.017,0.1194,0,3,-0.64838,0
16.078,0.17349,0,3,-0.59818,0
16.157,0.25786,0,3,-0.54798,0
16.254,0.3886,0,3,-0.49777,0
16.365,0.59542,0,3,-0.44757,0
16.574,0.96121,0,3,-0.39737,0
16.884,1.5283,0,3,-0.34725,0
16.807,2.0982,0,3,-0.3013,0
16.368,2.5955,0,3,-0.26159,0
15.844,2.9639,0,3,-0.22892,0
15.333,3.1573,0,3,-0.2022,0
14.924,3.2419,0,3,-0.18034,0
14.6,3.2517,0,3,-0.16246,0
14.356,3.2076,0,3,-0.14783,0
14.178,3.1416,0,3,-0.13554,0
14.037,3.058,0,3,-0.1235,0
13.928,2.9538,0,3,-0.11145,0
13.847,2.8325,0,3,-0.099398,0
13.784,2.6953,0,3,-0.087349,0
13.728,2.5432,0,3,-0.075301,0
13.674,2.3814,0,3,-0.063252,0
13.61,2.2144,0,3,-0.051204,0
13.528,2.0463,0,3,-0.039155,0
13.424,1.8802,0,3,-0.027107,0
13.297,1.7167,0,3,-0.015058,0
13.148,1.5587,0,3,-0.0030095,0
12.983,1.4086,0,3,0.0090391,0
12.805,1.2668,0,3,0.021088,0
12.621,1.135,0,3,0.033136,0
12.441,1.0153,0,3,0.045185,0
12.272,0.90977,0,3,0.057233,0
12.125,0.81967,0,3,0.069282,0
12.009,0.74611,0,3,0.08133,0
11.934,0.69139,0,3,0.093379,0
11.908,0.65447,0,3,0.10543,0
11.932,0.63249,0,3,0.11748,0
12.008,0.62348,0,3,0.12952,0
12.134,0.62973,0,3,0.14157,0
12.32,0.65424,0,3,0.15419,0
12.589,0.68862,0,3,0.16838,0
12.961,0.7331,0,3,0.18558,0
13.455,0.77881,0,3,0.20661,0
14.035,0.78255,0,3,0.23231,0
14.521,0.67343,0,3,0.26374,0
14.759,0.47402,0,3,0.302,0
14.826,0.29822,0,3,0.3472,0
14.856,0.16256,0,3,0.3973,0
14.862,0.068531,0,3,0.4475,0
14.856,0.011835,0,3,0.4977,0
14.843,-0.021919,0,3,0.5479,0
14.828,-0.041178,0,3,0.59811,0
14.812,-0.051026,0,3,0.64831,0
14.797,-0.05395,0,3,0.69851,0
14.784,-0.052246,0,3,0.74871,0
14.773,-0.047124,0,3,0.79892,0
14.764,-0.039995,0,3,0.84912,0
14.756,-0.030885,0,3,0.89932,0
14.751,-0.02125,0,3,0.94952,0
14.747,-0.010691,0,3,0.99973,0
14.747,0,0,3,1.05,0
14.78,0,0,2.85,1.05,0
14.793,0,0,2.8,1.05,0
14.807,0,0,2.75,1.05,0
14.768,0,0,2.9,1.05,0
14.821,0,0,2.7,1.05,0
14.755,0,0,2.95,1.05,0
14.836,0,0,2.65,1.05,0
14.851,0,0,2.6,1.05,0
14.866,0,0,2.55,1.05,0
14.881,0,0,2.5,1.05,0
14.896,0,0,2.45,1.05,0
14.911,0,0,2.4,1.05,0
14.926,0,0,2.35,1.05,0
14.941,0,0,2.3,1.05,0
14.956,0,0,2.25,1.05,0
14.97,0,0,2.2,1.05,0
14.985,0,0,2.15,1.05,0
15,0,0,2.1,1.05,0
15.015,0,0,2.05,1.05,0
15.031,0,0,2,1.05,0
15.046,0,0,1.95,1.05,0
15.062,0,0,1.9,1.05,0
15.077,0,0,1.85,1.05,0
15.093,0,0,1.8,1.05,0
15.107,0,0,1.75,1.05,0
15.121,0,0,1.7,1.05,0
15.134,0,0,1.65,1.05,0
15.146,0,0,1.6,1.05,0
15.157,0,0,1.55,1.05,0
15.167,0,0,1.5,1.05,0
15.176,0,0,1.45,1.05,0
15.183,0,0,1.4,1.05,0
15.189,0,0,1.35,1.05,0
15.194,0,0,1.3,1.05,0
15.198,0,0,1.25,1.05,0
15.201,0,0,1.2,1.05,0
15.202,0,0,1.15,1.05,0
15.202,0,0,1.1,1.05,0
15.202,0,0,1.05,1.05,0
15.202,0,0,1,1.05,0
15.201,0,0,0.95,1.05,0
15.2,0,0,0.9,1.05,0
15.199,0,0,0.85,1.05,0
15.198,0,0,0.8,1.05,0
15.197,0,0,0.75,1.05,0
15.197,0,0,0.7,1.05,0
15.196,0,0,0.65,1.05,0
15.197,0,0,0.6,1.05,0
15.198,0,0,0.55,1.05,0
15.199,0,0,0.5,1.05,0
